Group name,Folder,Lake (GLP-NGLP),Picture,"Individual (1,2,3)","Instar (1,2)",Sex (m/f),Distal Spine Length (mm),Observation
cecile-nelson-ocarroll,08BS049,NGLP,2,1,1,m,5.212,
cecile-nelson-ocarroll,08BS049,NGLP,2,2,2,f,4.695,
cecile-nelson-ocarroll,08BS049,NGLP,2,3,3,f,5.265,
cecile-nelson-ocarroll,08BS049,NGLP,3,1,1,f,5.47,
cecile-nelson-ocarroll,08BS049,NGLP,3,2,2,f,5.019,
cecile-nelson-ocarroll,08BS049,NGLP,3,3,3,f,4.862,
cecile-nelson-ocarroll,08BS049,NGLP,4,1,1,m,5.239,
cecile-nelson-ocarroll,08BS049,NGLP,4,2,2,f,4.849,
cecile-nelson-ocarroll,08BS049,NGLP,4,3,3,f,4.436,
cecile-nelson-ocarroll,08BS049,NGLP,5,1,1,f,4.885,
cecile-nelson-ocarroll,08BS049,NGLP,5,2,2,f,4.878,
cecile-nelson-ocarroll,08BS049,NGLP,5,3,3,f,4.69,
cecile-nelson-ocarroll,08BS049,NGLP,6,1,1,f,4.923,
cecile-nelson-ocarroll,08BS049,NGLP,6,2,2,f,4.908,
cecile-nelson-ocarroll,08BS049,NGLP,6,3,3,f,4.379,
cecile-nelson-ocarroll,08BS049,NGLP,7,1,1,m,4.883,
cecile-nelson-ocarroll,08BS049,NGLP,7,2,2,f,4.947,
cecile-nelson-ocarroll,08BS049,NGLP,7,3,3,f,4.854,
cecile-nelson-ocarroll,08BS049,NGLP,8,1,1,f,4.855,
cecile-nelson-ocarroll,08BS049,NGLP,8,2,2,f,5.049,
cecile-nelson-ocarroll,08BS049,NGLP,8,3,3,f,5.014,
cecile-nelson-ocarroll,08BS049,NGLP,9,1,1,f,5.352,
cecile-nelson-ocarroll,08BS049,NGLP,9,2,2,f,5.201,
cecile-nelson-ocarroll,08BS049,NGLP,9,3,3,f,4.785,
cecile-nelson-ocarroll,08BS049,NGLP,10,1,1,f,5.211,
cecile-nelson-ocarroll,08BS049,NGLP,10,2,2,f,4.657,
cecile-nelson-ocarroll,08BS049,NGLP,10,3,3,f,4.169,
cecile-nelson-ocarroll,08BS049,NGLP,11,1,1,m,5.274,
cecile-nelson-ocarroll,08BS049,NGLP,11,2,2,f,5.127,
cecile-nelson-ocarroll,08BS049,NGLP,11,3,3,f,4.928,
cecile-nelson-ocarroll,08BS049,NGLP,12,1,1,f,5.517,
cecile-nelson-ocarroll,08BS049,NGLP,12,2,2,f,4.961,
cecile-nelson-ocarroll,08BS049,NGLP,12,3,3,f,5.331,
cecile-nelson-ocarroll,08BS049,NGLP,13,1,NA,NA,NA,Empty slide
cecile-nelson-ocarroll,08BS049,NGLP,13,2,NA,NA,NA,Empty slide
cecile-nelson-ocarroll,08BS049,NGLP,13,3,NA,NA,NA,Empty slide
cecile-nelson-ocarroll,08BS049,NGLP,14,1,NA,NA,NA,Empty slide
cecile-nelson-ocarroll,08BS049,NGLP,14,2,NA,NA,NA,Empty slide
cecile-nelson-ocarroll,08BS049,NGLP,14,3,NA,NA,NA,Empty slide
cecile-nelson-ocarroll,08BS049,NGLP,15,1,1,f,5.583,
cecile-nelson-ocarroll,08BS049,NGLP,15,2,2,f,5.708,
cecile-nelson-ocarroll,08BS049,NGLP,15,3,3,f,4.669,
cecile-nelson-ocarroll,08BS049,NGLP,16,1,1,m,5.162,
cecile-nelson-ocarroll,08BS049,NGLP,16,2,2,f,5.376,
cecile-nelson-ocarroll,08BS049,NGLP,16,3,3,f,4.484,
cecile-nelson-ocarroll,08BS049,NGLP,17,1,1,m,5.275,
cecile-nelson-ocarroll,08BS049,NGLP,17,2,2,f,4.992,
cecile-nelson-ocarroll,08BS049,NGLP,17,3,3,f,5.314,
cecile-nelson-ocarroll,08BS049,NGLP,18,1,1,m,5.212,
cecile-nelson-ocarroll,08BS049,NGLP,18,2,2,f,5.074,
cecile-nelson-ocarroll,08BS049,NGLP,18,3,3,f,4.608,
cecile-nelson-ocarroll,08BS049,NGLP,19,1,1,m,5.161,
cecile-nelson-ocarroll,08BS049,NGLP,19,2,2,f,4.982,
cecile-nelson-ocarroll,08BS049,NGLP,19,3,3,f,5.303,
cecile-nelson-ocarroll,08BS049,NGLP,20,1,1,f,5.377,
cecile-nelson-ocarroll,08BS049,NGLP,20,2,2,f,5.727,
cecile-nelson-ocarroll,08BS049,NGLP,20,3,3,f,5.315,
cecile-nelson-ocarroll,08BS049,NGLP,21,1,1,f,5.058,
cecile-nelson-ocarroll,08BS049,NGLP,21,2,2,f,5.03,
cecile-nelson-ocarroll,08BS049,NGLP,21,3,3,f,4.664,
cecile-nelson-ocarroll,08BS049,NGLP,22,1,1,f,5.175,
cecile-nelson-ocarroll,08BS049,NGLP,22,2,2,f,5.714,
cecile-nelson-ocarroll,08BS049,NGLP,22,3,3,f,4.899,
cecile-nelson-ocarroll,08BS049,NGLP,23,1,1,f,5.595,
cecile-nelson-ocarroll,08BS049,NGLP,23,2,2,f,5.354,
cecile-nelson-ocarroll,08BS049,NGLP,23,3,3,f,5.098,
cecile-nelson-ocarroll,08BS049,NGLP,24,1,1,f,5.877,
cecile-nelson-ocarroll,08BS049,NGLP,24,2,2,f,5.095,
cecile-nelson-ocarroll,08BS049,NGLP,24,3,3,f,5.248,
cecile-nelson-ocarroll,08BS049,NGLP,25,1,1,f,5.229,
cecile-nelson-ocarroll,08BS049,NGLP,25,2,2,f,5.601,
cecile-nelson-ocarroll,08BS049,NGLP,25,3,3,f,5.061,
cecile-nelson-ocarroll,08BS049,NGLP,26,1,1,f,5.478,
cecile-nelson-ocarroll,08BS049,NGLP,26,2,2,f,5.352,
cecile-nelson-ocarroll,08BS049,NGLP,26,3,3,f,4.754,
cecile-nelson-ocarroll,08BS049,NGLP,27,1,1,f,4.814,
cecile-nelson-ocarroll,08BS049,NGLP,27,2,2,f,5.318,
cecile-nelson-ocarroll,08BS049,NGLP,27,3,3,f,5.079,
cecile-nelson-ocarroll,08BS049,NGLP,28,1,1,m,5.378,
cecile-nelson-ocarroll,08BS049,NGLP,28,2,2,f,5.413,
cecile-nelson-ocarroll,08BS049,NGLP,28,3,3,f,5.117,
cecile-nelson-ocarroll,08BS049,NGLP,29,1,1,f,5.414,
cecile-nelson-ocarroll,08BS049,NGLP,29,2,2,f,5.444,
cecile-nelson-ocarroll,08BS049,NGLP,29,3,3,f,5.307,
cecile-nelson-ocarroll,08BS049,NGLP,30,1,1,f,5.67,
cecile-nelson-ocarroll,08BS049,NGLP,30,2,2,f,6.18,
cecile-nelson-ocarroll,08BS049,NGLP,30,3,3,f,5.791,
cecile-nelson-ocarroll,08BS049,NGLP,31,1,1,m,5.215,
