Group name,Folder,Lake (GLP-NGLP),Picture,"Individual (1,2,3)","Instar (1,2)",Sex (m/f),Distal Spine Length (mm)
 Dickson and MacKenzie ,08BS013,GLP,7,1,1,m,5.515
 Dickson and MacKenzie ,08BS013,GLP,30,1,1,f,5.535
 Dickson and MacKenzie ,08BS013,GLP,33,1,1,f,5.63
 Dickson and MacKenzie ,08BS013,GLP,6,1,1,m,5.676
 Dickson and MacKenzie ,08BS013,GLP,42,1,1,m,5.692
 Dickson and MacKenzie ,08BS013,GLP,43,1,1,m,5.695
 Dickson and MacKenzie ,08BS013,GLP,40,1,1,m,5.696
 Dickson and MacKenzie ,08BS013,GLP,5,1,1,m,5.707
 Dickson and MacKenzie ,08BS013,GLP,31,1,1,f,5.735
 Dickson and MacKenzie ,08BS013,GLP,2,1,1,m,5.74
 Dickson and MacKenzie ,08BS013,GLP,38,1,1,m,5.748
 Dickson and MacKenzie ,08BS013,GLP,11,1,1,m,5.756
 Dickson and MacKenzie ,08BS013,GLP,45,1,1,f,5.761
 Dickson and MacKenzie ,08BS013,GLP,46,1,1,m,5.773
 Dickson and MacKenzie ,08BS013,GLP,9,1,1,m,5.774
 Dickson and MacKenzie ,08BS013,GLP,8,1,1,m,5.778
 Dickson and MacKenzie ,08BS013,GLP,3,1,1,f,5.803
 Dickson and MacKenzie ,08BS013,GLP,12,1,1,m,5.819
 Dickson and MacKenzie ,08BS013,GLP,15,1,1,m,5.832
 Dickson and MacKenzie ,08BS013,GLP,44,1,1,m,5.845
 Dickson and MacKenzie ,08BS013,GLP,37,1,1,f,5.858
 Dickson and MacKenzie ,08BS013,GLP,29,1,1,m,5.87
 Dickson and MacKenzie ,08BS013,GLP,18,1,1,m,5.878
 Dickson and MacKenzie ,08BS013,GLP,28,1,1,m,5.893
 Dickson and MacKenzie ,08BS013,GLP,21,1,1,f,5.9
 Dickson and MacKenzie ,08BS013,GLP,17,1,1,m,5.912
 Dickson and MacKenzie ,08BS013,GLP,39,1,1,m,5.936
 Dickson and MacKenzie ,08BS013,GLP,13,1,1,m,5.956
 Dickson and MacKenzie ,08BS013,GLP,35,1,1,f,5.96
 Dickson and MacKenzie ,08BS013,GLP,41,1,1,f,5.961
 Dickson and MacKenzie ,08BS013,GLP,36,1,1,m,5.976
 Dickson and MacKenzie ,08BS013,GLP,4,1,1,m,5.977
 Dickson and MacKenzie ,08BS013,GLP,20,1,1,m,5.98
 Dickson and MacKenzie ,08BS013,GLP,32,1,1,f,5.985
 Dickson and MacKenzie ,08BS013,GLP,34,1,1,m,6.03
 Dickson and MacKenzie ,08BS013,GLP,14,1,1,m,6.031
 Dickson and MacKenzie ,08BS013,GLP,25,1,1,f,6.052
 Dickson and MacKenzie ,08BS013,GLP,47,1,1,m,6.052
 Dickson and MacKenzie ,08BS013,GLP,16,1,1,m,6.053
 Dickson and MacKenzie ,08BS013,GLP,19,1,1,m,6.075
 Dickson and MacKenzie ,08BS013,GLP,24,1,1,f,6.085
 Dickson and MacKenzie ,08BS013,GLP,23,1,1,f,6.088
 Dickson and MacKenzie ,08BS013,GLP,10,1,1,m,6.146
 Dickson and MacKenzie ,08BS013,GLP,22,1,1,m,6.549
Achiluzzi- Valkova,08BS023,GLP,50,1,1,m,5.701
Achiluzzi- Valkova,08BS017,GLP,47,1,1,m,5.755
Achiluzzi- Valkova,08BS019,GLP,48,1,1,m,5.762
Achiluzzi- Valkova,08BS029,GLP,53,1,1,m,5.769
Achiluzzi- Valkova,08BS014,GLP,39,1,1,m,5.788
Achiluzzi- Valkova,08BS014,GLP,16,1,1,m,5.859
Achiluzzi- Valkova,08BS014,GLP,38,1,1,f,5.867
Achiluzzi- Valkova,08BS021,GLP,49,1,1,m,5.873
Achiluzzi- Valkova,08BS014,GLP,5,1,1,m,5.903
Achiluzzi- Valkova,08BS014,GLP,3,1,1,m,5.908
Achiluzzi- Valkova,08BS014,GLP,32,1,1,m,5.918
Achiluzzi- Valkova,08BS014,GLP,40,1,1,f,5.919
Achiluzzi- Valkova,08BS014,GLP,44,1,1,m,5.923
Achiluzzi- Valkova,08BS027,GLP,52,1,1,m,5.929
Achiluzzi- Valkova,08BS014,GLP,37,1,1,f,5.93
Achiluzzi- Valkova,08BS014,GLP,24,1,1,m,5.958
Achiluzzi- Valkova,08BS014,GLP,41,1,1,m,5.975
Achiluzzi- Valkova,08BS025,GLP,51,1,1,m,6.002
Achiluzzi- Valkova,08BS014,GLP,2,1,1,m,6.019
Achiluzzi- Valkova,08BS014,GLP,27,1,1,m,6.019
Achiluzzi- Valkova,08BS014,GLP,29,1,1,m,6.019
Achiluzzi- Valkova,08BS014,GLP,26,1,1,m,6.028
Achiluzzi- Valkova,08BS015,GLP,46,1,1,m,6.028
Achiluzzi- Valkova,08BS014,GLP,14,1,1,m,6.032
Achiluzzi- Valkova,08BS033,GLP,55,1,1,m,6.041
Achiluzzi- Valkova,08BS014,GLP,12,1,1,m,6.066
Achiluzzi- Valkova,08BS014,GLP,21,1,1,m,6.075
Achiluzzi- Valkova,08BS014,GLP,23,1,1,m,6.08
Achiluzzi- Valkova,08BS031,GLP,54,1,1,m,6.091
Achiluzzi- Valkova,08BS014,GLP,45,1,1,m,6.095
Achiluzzi- Valkova,08BS014,GLP,13,1,1,m,6.098
Achiluzzi- Valkova,08BS014,GLP,25,1,1,m,6.099
Achiluzzi- Valkova,08BS014,GLP,17,1,1,m,6.103
Achiluzzi- Valkova,08BS014,GLP,30,1,1,f,6.112
Achiluzzi- Valkova,08BS014,GLP,33,1,1,f,6.124
Achiluzzi- Valkova,08BS014,GLP,18,1,1,m,6.14
Achiluzzi- Valkova,08BS014,GLP,28,1,1,m,6.16
Achiluzzi- Valkova,08BS014,GLP,6,1,1,m,6.169
Achiluzzi- Valkova,08BS014,GLP,36,1,1,m,6.169
Achiluzzi- Valkova,08BS014,GLP,11,1,1,m,6.207
Achiluzzi- Valkova,08BS014,GLP,15,1,1,m,6.22
Achiluzzi- Valkova,08BS014,GLP,19,1,1,m,6.222
Achiluzzi- Valkova,08BS014,GLP,4,1,1,m,6.248
Achiluzzi- Valkova,08BS014,GLP,31,1,1,f,6.251
Achiluzzi- Valkova,08BS014,GLP,43,1,1,m,6.264
Achiluzzi- Valkova,08BS014,GLP,9,1,1,m,6.341
Achiluzzi- Valkova,08BS014,GLP,42,1,1,f,6.346
Achiluzzi- Valkova,08BS014,GLP,20,1,1,m,6.384
Achiluzzi- Valkova,08BS014,GLP,10,1,1,m,6.392
Achiluzzi- Valkova,08BS014,GLP,22,1,1,m,6.661
Addesi - Whiter ,08BS052,GLP,29,3,1,F,5.6
Addesi - Whiter ,08BS052,GLP,4,1,1,F,5.7
Addesi - Whiter ,08BS052,GLP,13,2,1,F,5.7
Addesi - Whiter ,08BS052,GLP,16,2,1,F,5.7
Addesi - Whiter ,08BS052,GLP,17,2,1,F,5.8
Addesi - Whiter ,08BS052,GLP,26,1,1,F,5.8
Addesi - Whiter ,08BS052,GLP,32,1,1,F,5.8
Addesi - Whiter ,08BS052,GLP,41,2,1,F,5.8
Addesi - Whiter ,08BS052,GLP,2,2,1,F,5.9
Addesi - Whiter ,08BS052,GLP,5,2,1,F,5.9
Addesi - Whiter ,08BS052,GLP,15,2,1,F,5.9
Addesi - Whiter ,08BS052,GLP,22,1,1,F,5.9
Addesi - Whiter ,08BS052,GLP,37,1,1,F,5.9
Addesi - Whiter ,08BS052,GLP,6,3,1,F,6
Addesi - Whiter ,08BS052,GLP,9,3,1,F,6
Addesi - Whiter ,08BS052,GLP,21,2,1,F,6
Addesi - Whiter ,08BS052,GLP,31,1,1,F,6
Addesi - Whiter ,08BS052,GLP,35,1,1,F,6
Addesi - Whiter ,08BS052,GLP,38,1,1,F,6
Addesi - Whiter ,08BS052,GLP,41,1,1,F,6
Addesi - Whiter ,08BS052,GLP,3,2,1,F,6.1
Addesi - Whiter ,08BS052,GLP,11,1,1,F,6.1
Addesi - Whiter ,08BS052,GLP,14,2,1,F,6.1
Addesi - Whiter ,08BS052,GLP,18,2,1,F,6.1
